epoch,loss,mse
1,2.7130110263824463,2.7130110263824463
2,2.608794927597046,2.608794927597046
3,2.500692844390869,2.500692844390869
4,2.397834300994873,2.397834300994873
5,2.2910189628601074,2.2910189628601074
6,2.173163414001465,2.173163414001465
7,2.0432984828948975,2.0432984828948975
8,1.9059903621673584,1.9059903621673584
9,1.7591803073883057,1.7591803073883057
10,1.6038105487823486,1.6038105487823486
11,1.4445024728775024,1.4445024728775024
12,1.2920485734939575,1.2920485734939575
13,1.1683436632156372,1.1683436632156372
14,1.113953709602356,1.113953709602356
15,1.1807318925857544,1.1807318925857544
16,1.307172179222107,1.307172179222107
17,1.338306188583374,1.338306188583374
18,1.2789068222045898,1.2789068222045898
19,1.1969692707061768,1.1969692707061768
20,1.1370179653167725,1.1370179653167725
21,1.1103732585906982,1.1103732585906982
22,1.1097090244293213,1.1097090244293213
23,1.12309730052948,1.12309730052948
24,1.1407029628753662,1.1407029628753662
25,1.1562613248825073,1.1562613248825073
26,1.1665318012237549,1.1665318012237549
27,1.1703524589538574,1.1703524589538574
28,1.1678733825683594,1.1678733825683594
29,1.1600632667541504,1.1600632667541504
30,1.1484369039535522,1.1484369039535522
31,1.134901762008667,1.134901762008667
32,1.121539831161499,1.121539831161499
33,1.1104543209075928,1.1104543209075928
34,1.1033966541290283,1.1033966541290283
35,1.1013520956039429,1.1013520956039429
36,1.1038992404937744,1.1038992404937744
37,1.1092886924743652,1.1092886924743652
38,1.114849328994751,1.114849328994751
39,1.1180403232574463,1.1180403232574463
40,1.1174753904342651,1.1174753904342651
41,1.1136518716812134,1.1136518716812134
42,1.1081823110580444,1.1081823110580444
43,1.102952480316162,1.102952480316162
44,1.099341869354248,1.099341869354248
45,1.097827672958374,1.097827672958374
46,1.0980987548828125,1.0980987548828125
47,1.099427580833435,1.099427580833435
48,1.100975513458252,1.100975513458252
49,1.1020689010620117,1.1020689010620117
50,1.1023268699645996,1.1023268699645996
51,1.101681113243103,1.101681113243103
52,1.1003129482269287,1.1003129482269287
53,1.0985565185546875,1.0985565185546875
54,1.0968167781829834,1.0968167781829834
55,1.0954906940460205,1.0954906940460205
56,1.0947463512420654,1.0947463512420654
57,1.0945796966552734,1.0945796966552734
58,1.0948266983032227,1.0948266983032227
59,1.0952235460281372,1.0952235460281372
60,1.095454454421997,1.095454454421997
61,1.0953528881072998,1.0953528881072998
62,1.0948855876922607,1.0948855876922607
63,1.094177007675171,1.094177007675171
64,1.093429684638977,1.093429684638977
65,1.0927616357803345,1.0927616357803345
66,1.0922869443893433,1.0922869443893433
67,1.0920222997665405,1.0920222997665405
68,1.0919183492660522,1.0919183492660522
69,1.0918829441070557,1.0918829441070557
70,1.091820240020752,1.091820240020752
71,1.0916638374328613,1.0916638374328613
72,1.0913892984390259,1.0913892984390259
73,1.0910156965255737,1.0910156965255737
74,1.0906023979187012,1.0906023979187012
75,1.090230107307434,1.090230107307434
76,1.0899004936218262,1.0899004936218262
77,1.0896315574645996,1.0896315574645996
78,1.0894160270690918,1.0894160270690918
79,1.0892229080200195,1.0892229080200195
80,1.0890569686889648,1.0890569686889648
81,1.088876724243164,1.088876724243164
82,1.088653326034546,1.088653326034546
83,1.0883996486663818,1.0883996486663818
84,1.088118076324463,1.088118076324463
85,1.0878260135650635,1.0878260135650635
86,1.0875511169433594,1.0875511169433594
87,1.0873007774353027,1.0873007774353027
88,1.0870656967163086,1.0870656967163086
89,1.0868427753448486,1.0868427753448486
90,1.0866365432739258,1.0866365432739258
91,1.0864307880401611,1.0864307880401611
92,1.0861923694610596,1.0861923694610596
93,1.0859522819519043,1.0859522819519043
94,1.0857125520706177,1.0857125520706177
95,1.0854651927947998,1.0854651927947998
96,1.085216999053955,1.085216999053955
97,1.0849730968475342,1.0849730968475342
98,1.0847346782684326,1.0847346782684326
99,1.084531545639038,1.084531545639038
100,1.0842996835708618,1.0842996835708618
101,1.0840638875961304,1.0840638875961304
102,1.0838394165039062,1.0838394165039062
103,1.08360755443573,1.08360755443573
104,1.083369493484497,1.083369493484497
105,1.083127737045288,1.083127737045288
106,1.0828826427459717,1.0828826427459717
107,1.0826343297958374,1.0826343297958374
108,1.082390308380127,1.082390308380127
109,1.0821524858474731,1.0821524858474731
110,1.0819147825241089,1.0819147825241089
111,1.0817021131515503,1.0817021131515503
112,1.0814427137374878,1.0814427137374878
113,1.0812066793441772,1.0812066793441772
114,1.0809608697891235,1.0809608697891235
115,1.0807100534439087,1.0807100534439087
116,1.0804779529571533,1.0804779529571533
117,1.08024001121521,1.08024001121521
118,1.0799933671951294,1.0799933671951294
119,1.079738974571228,1.079738974571228
120,1.079480528831482,1.079480528831482
121,1.0792434215545654,1.0792434215545654
122,1.0789988040924072,1.0789988040924072
123,1.078744649887085,1.078744649887085
124,1.078479528427124,1.078479528427124
125,1.078206181526184,1.078206181526184
126,1.077966332435608,1.077966332435608
127,1.0777168273925781,1.0777168273925781
128,1.0774548053741455,1.0774548053741455
129,1.07717764377594,1.07717764377594
130,1.07688570022583,1.07688570022583
131,1.0767531394958496,1.0767531394958496
132,1.0763983726501465,1.0763983726501465
133,1.0761263370513916,1.0761263370513916
134,1.0759844779968262,1.0759844779968262
135,1.0757033824920654,1.0757033824920654
136,1.0752840042114258,1.0752840042114258
137,1.0750339031219482,1.0750339031219482
138,1.0747604370117188,1.0747604370117188
139,1.074419379234314,1.074419379234314
140,1.0741679668426514,1.0741679668426514
141,1.0738977193832397,1.0738977193832397
142,1.0736243724822998,1.0736243724822998
143,1.0732461214065552,1.0732461214065552
144,1.0730392932891846,1.0730392932891846
145,1.0727064609527588,1.0727064609527588
146,1.072335124015808,1.072335124015808
147,1.0720826387405396,1.0720826387405396
148,1.0718741416931152,1.0718741416931152
149,1.071428656578064,1.071428656578064
150,1.0710362195968628,1.0710362195968628
151,1.0709439516067505,1.0709439516067505
152,1.0705410242080688,1.0705410242080688
153,1.0700786113739014,1.0700786113739014
154,1.0698212385177612,1.0698212385177612
155,1.0696489810943604,1.0696489810943604
156,1.0691208839416504,1.0691208839416504
157,1.0686933994293213,1.0686933994293213
158,1.0684630870819092,1.0684630870819092
159,1.0679748058319092,1.0679748058319092
160,1.0676621198654175,1.0676621198654175
161,1.0674705505371094,1.0674705505371094
162,1.0669053792953491,1.0669053792953491
163,1.0663312673568726,1.0663312673568726
164,1.0662643909454346,1.0662643909454346
165,1.065897822380066,1.065897822380066
166,1.0649681091308594,1.0649681091308594
167,1.0646271705627441,1.0646271705627441
168,1.064231514930725,1.064231514930725
