epoch,loss,mse
1,1.9410449266433716,1.9410449266433716
2,1.9141371250152588,1.9141371250152588
3,1.886608600616455,1.886608600616455
4,1.862253189086914,1.862253189086914
5,1.838425874710083,1.838425874710083
6,1.8126634359359741,1.8126634359359741
7,1.7847750186920166,1.7847750186920166
8,1.755000352859497,1.755000352859497
9,1.7235749959945679,1.7235749959945679
10,1.6916269063949585,1.6916269063949585
11,1.660204291343689,1.660204291343689
12,1.6321171522140503,1.6321171522140503
13,1.6129064559936523,1.6129064559936523
14,1.6111761331558228,1.6111761331558228
15,1.632025122642517,1.632025122642517
16,1.6526254415512085,1.6526254415512085
17,1.6523962020874023,1.6523962020874023
18,1.6384598016738892,1.6384598016738892
19,1.623158574104309,1.623158574104309
20,1.61311936378479,1.61311936378479
21,1.6092865467071533,1.6092865467071533
22,1.6099592447280884,1.6099592447280884
23,1.6129220724105835,1.6129220724105835
24,1.6164464950561523,1.6164464950561523
25,1.619459629058838,1.619459629058838
26,1.6214081048965454,1.6214081048965454
27,1.6221001148223877,1.6221001148223877
28,1.621580958366394,1.621580958366394
29,1.6200463771820068,1.6200463771820068
30,1.6177964210510254,1.6177964210510254
31,1.6152045726776123,1.6152045726776123
32,1.6126831769943237,1.6126831769943237
33,1.6106394529342651,1.6106394529342651
34,1.6094050407409668,1.6094050407409668
35,1.609147071838379,1.609147071838379
36,1.6097840070724487,1.6097840070724487
37,1.6109609603881836,1.6109609603881836
38,1.6121454238891602,1.6121454238891602
39,1.6128365993499756,1.6128365993499756
40,1.612784743309021,1.612784743309021
41,1.6120771169662476,1.6120771169662476
42,1.6110410690307617,1.6110410690307617
43,1.6100540161132812,1.6100540161132812
44,1.6093837022781372,1.6093837022781372
45,1.6091248989105225,1.6091248989105225
46,1.6092233657836914,1.6092233657836914
47,1.6095391511917114,1.6095391511917114
48,1.609912633895874,1.609912633895874
49,1.6102112531661987,1.6102112531661987
50,1.6103533506393433,1.6103533506393433
51,1.6103137731552124,1.6103137731552124
52,1.6101181507110596,1.6101181507110596
53,1.6098281145095825,1.6098281145095825
54,1.6095221042633057,1.6095221042633057
55,1.6092753410339355,1.6092753410339355
56,1.6091398000717163,1.6091398000717163
57,1.6091302633285522,1.6091302633285522
58,1.6092218160629272,1.6092218160629272
59,1.6093593835830688,1.6093593835830688
60,1.609479546546936,1.609479546546936
1,1.9095011949539185,1.9095011949539185
2,1.8407856225967407,1.8407856225967407
3,1.7748922109603882,1.7748922109603882
4,1.7131928205490112,1.7131928205490112
5,1.6483738422393799,1.6483738422393799
6,1.5787928104400635,1.5787928104400635
7,1.5029186010360718,1.5029186010360718
8,1.418074131011963,1.418074131011963
9,1.325956106185913,1.325956106185913
10,1.2236136198043823,1.2236136198043823
11,1.1113141775131226,1.1113141775131226
12,0.9915217161178589,0.9915217161178589
13,0.8710181713104248,0.8710181713104248
14,0.7660931944847107,0.7660931944847107
15,0.7146334648132324,0.7146334648132324
16,0.7761763334274292,0.7761763334274292
17,0.8806331157684326,0.8806331157684326
18,0.8772507905960083,0.8772507905960083
19,0.808800995349884,0.808800995349884
20,0.7430793642997742,0.7430793642997742
21,0.7080655694007874,0.7080655694007874
22,0.7017831802368164,0.7017831802368164
23,0.7119686007499695,0.7119686007499695
24,0.7276008129119873,0.7276008129119873
25,0.7417501211166382,0.7417501211166382
26,0.7509479522705078,0.7509479522705078
27,0.7540766000747681,0.7540766000747681
28,0.7512742280960083,0.7512742280960083
29,0.7434791326522827,0.7434791326522827
30,0.7323057651519775,0.7323057651519775
31,0.7198354005813599,0.7198354005813599
32,0.7084277868270874,0.7084277868270874
33,0.700445294380188,0.700445294380188
34,0.6976563930511475,0.6976563930511475
35,0.7003813982009888,0.7003813982009888
36,0.706810712814331,0.706810712814331
37,0.7133523225784302,0.7133523225784302
38,0.7164453268051147,0.7164453268051147
